median	q25	q75	median_independent	q25_independent	q75_independent
-117.298	-119.352	-112.528	-149.933	-151.297	-149.48
-117.298	-119.352	-112.528	-149.933	-151.297	-149.48
-117.298	-119.352	-112.528	-149.933	-151.297	-149.48
-117.298	-119.352	-112.528	-149.933	-151.297	-149.48
-117.298	-119.352	-112.528	-149.933	-151.297	-149.48
-117.298	-119.352	-112.528	-149.933	-151.295	-149.48
-117.298	-119.352	-112.528	-149.933	-151.295	-149.48
-117.298	-119.352	-112.528	-149.933	-151.295	-149.48
-117.298	-119.352	-112.528	-149.933	-151.293	-149.48
-117.298	-119.352	-112.528	-149.933	-151.293	-149.48
-117.298	-119.352	-112.528	-149.933	-151.293	-149.48
-117.298	-119.352	-112.528	-149.933	-151.293	-149.48
-117.298	-119.352	-112.528	-149.933	-151.293	-149.48
-117.298	-119.352	-112.528	-149.933	-151.293	-149.48
-117.298	-119.352	-112.528	-149.933	-151.293	-149.48
-117.298	-119.352	-112.528	-149.933	-151.293	-149.48
-117.298	-119.352	-112.528	-149.933	-151.293	-149.48
-117.298	-119.352	-112.19	-149.933	-151.293	-149.48
-117.282	-119.352	-112.19	-149.933	-151.293	-149.48
-117.227	-119.352	-112.19	-149.933	-151.293	-149.48
-117.101	-119.352	-112.19	-149.933	-151.293	-149.48
-117.101	-119.352	-112.19	-149.933	-151.293	-149.48
-117.101	-119.352	-112.19	-149.932	-151.293	-149.48
-117.101	-119.352	-112.19	-149.932	-151.293	-149.48
-117.101	-119.352	-112.19	-149.932	-151.29	-149.48
-117.101	-119.352	-112.19	-149.932	-151.29	-149.48
-117.101	-119.352	-112.19	-149.932	-151.29	-149.48
-117.101	-119.352	-112.19	-149.932	-151.29	-149.48
-117.101	-119.297	-112.185	-149.932	-151.29	-149.48
-117.101	-119.297	-112.185	-149.932	-151.29	-149.48
-117.101	-119.297	-112.185	-149.932	-151.29	-149.48
-117.101	-119.201	-112.185	-149.932	-151.29	-149.48
-117.101	-119.201	-112.185	-149.932	-151.29	-149.48
-117.101	-119.2	-112.185	-149.932	-151.289	-149.48
-117.101	-119.2	-112.185	-149.932	-151.289	-149.48
-117.101	-119.2	-112.185	-149.932	-151.289	-149.48
-117.101	-119.2	-112.185	-149.932	-151.289	-149.48
-117.101	-119.2	-112.185	-149.923	-151.289	-149.48
-117.101	-119.2	-112.185	-149.923	-151.289	-149.48
-117.097	-119.2	-112.185	-149.923	-151.289	-149.48
-117.097	-119.2	-112.185	-149.923	-151.289	-149.48
-117.097	-119.2	-112.185	-149.923	-151.287	-149.48
-117.097	-119.178	-112.185	-149.923	-151.287	-149.48
-117.097	-119.178	-112.185	-149.923	-151.287	-149.48
-117.069	-119.178	-112.107	-149.923	-151.287	-149.48
-117.069	-119.178	-112.107	-149.923	-151.287	-149.48
-117.069	-119.178	-112.101	-149.923	-151.287	-149.48
-117.069	-119.178	-112.101	-149.923	-151.287	-149.48
-117.069	-119.178	-112.101	-149.923	-151.287	-149.48
-117.069	-119.178	-112.101	-149.923	-151.287	-149.48
-117.069	-119.178	-112.101	-149.923	-151.287	-149.48
-116.855	-119.178	-112.101	-149.923	-151.287	-149.48
-116.214	-118.905	-112.101	-149.923	-151.287	-149.48
-116.214	-118.905	-112.101	-149.923	-151.287	-149.48
-116.214	-118.905	-112.101	-149.923	-151.287	-149.48
-116.213	-118.905	-112.101	-149.923	-151.287	-149.48
-116.213	-118.905	-112.101	-149.923	-151.286	-149.48
-116.213	-118.905	-112.101	-149.923	-151.286	-149.48
-116.213	-118.905	-112.101	-149.923	-151.285	-149.48
-116.213	-118.905	-112.101	-149.923	-151.285	-149.48
-116.213	-118.905	-112.101	-149.923	-151.285	-149.48
-116.213	-118.905	-112.101	-149.923	-151.285	-149.48
-116.213	-118.905	-112.101	-149.923	-151.285	-149.48
-116.213	-118.905	-111.721	-149.923	-151.285	-149.48
-116.213	-118.825	-111.721	-149.923	-151.285	-149.48
